Country	Subject Descriptor	Units	Scale	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	Estimates Start After
Albania	Gross domestic product, current prices	Purchasing power parity; international dollars	Billions	5.563	6.437	7.033	7.388	7.808	7.934	8.547	8.689	8.869	10.120	9.449	7.033	6.676	7.490	8.369	9.305	10.338	9.367	10.309	11.806	12.908	14.285	15.169	16.305	17.668	19.225	20.976	22.828	25.017	26.054	27.334	28.616	29.578	30.405	31.533	32.574	34.032	36.012	38.356	2017
Albania	Gross domestic product per capita, constant prices	National currency	Units	116,584.542	120,786.154	121,689.947	120,446.718	120,297.849	116,082.037	120,235.598	116,915.396	113,123.997	120,916.021	106,884.081	77,421.840	72,284.500	79,708.684	87,738.259	96,138.987	105,541.554	94,601.804	103,604.499	117,702.975	126,683.823	138,483.631	145,200.807	153,802.798	162,964.375	172,852.940	184,214.300	196,717.319	213,100.247	221,737.475	231,101.542	237,622.398	241,389.084	244,307.210	249,181.936	255,424.408	264,394.595	274,557.699	286,164.345	2016
Albania	Gross domestic product per capita, constant prices	Purchasing power parity; 2011 international dollar	Units	4,832.599	5,006.762	5,044.226	4,992.692	4,986.521	4,811.770	4,983.941	4,846.314	4,689.155	5,012.146	4,430.501	3,209.248	2,996.298	3,304.041	3,636.879	3,985.101	4,374.851	3,921.383	4,294.558	4,878.960	5,251.229	5,740.349	6,018.785	6,375.350	6,755.111	7,165.007	7,635.952	8,154.220	8,833.316	9,191.342	9,579.496	9,849.795	10,005.930	10,126.890	10,328.955	10,587.715	10,959.542	11,380.817	11,861.930	2016
Albania	Population	Persons	Millions	2.672	2.726	2.784	2.844	2.904	2.965	3.023	3.084	3.142	3.228	3.287	3.267	3.247	3.227	3.208	3.188	3.168	3.148	3.129	3.109	3.089	3.060	3.051	3.040	3.027	3.011	2.993	2.970	2.947	2.928	2.913	2.905	2.900	2.895	2.889	2.881	2.876	2.876	2.874	2016
Algeria	Gross domestic product, constant prices	National currency	Billions	2,596.368	2,674.259	2,845.412	2,999.064	3,167.012	3,344.364	3,337.676	3,314.312	3,251.340	3,407.404	3,434.663	3,393.448	3,447.743	3,375.254	3,344.877	3,473.578	3,605.574	3,645.235	3,831.051	3,953.645	4,103.883	4,227.000	4,463.712	4,785.099	4,990.859	5,285.319	5,374.350	5,555.620	5,686.740	5,779.561	5,988.556	6,157.618	6,366.419	6,544.679	6,793.376	7,044.731	7,270.163	7,371.945	7,523.765	2017
Algeria	Gross domestic product, constant prices	Percent change		-5.400	3.000	6.400	5.400	5.600	5.600	-0.200	-0.700	-1.900	4.800	0.800	-1.200	1.600	-2.102	-0.900	3.848	3.800	1.100	5.098	3.200	3.800	3.000	5.600	7.200	4.300	5.900	1.684	3.373	2.360	1.632	3.616	2.823	3.391	2.800	3.800	3.700	3.200	1.400	2.059	2017
Algeria	Gross domestic product, current prices	National currency	Billions	162.500	191.500	207.600	233.700	263.900	291.600	296.600	312.700	347.700	422.043	554.400	862.132	1,074.695	1,189.724	1,487.400	2,004.990	2,570.000	2,780.200	2,830.491	3,248.198	4,123.500	4,227.100	4,522.800	5,252.300	6,149.100	7,562.000	8,501.636	9,352.886	11,043.704	9,968.025	11,991.564	14,589.000	16,209.600	16,647.900	17,228.600	16,712.686	17,525.100	18,594.100	21,041.103	2017
Algeria	Gross domestic product, current prices	U.S. dollars	Billions	42.346	44.372	44.780	47.529	51.513	61.132	61.535	63.300	51.664	52.558	61.892	46.670	49.217	50.963	42.426	42.066	46.941	48.178	48.188	48.845	54.749	54.745	56.761	67.864	85.327	103.198	117.027	134.977	171.001	137.054	161.207	200.251	209.016	209.755	213.810	165.979	160.130	167.555	180.441	2017
Algeria	Gross domestic product, current prices	Purchasing power parity; international dollars	Billions	86.890	97.964	110.674	121.219	132.626	144.483	147.097	149.680	152.014	165.557	173.127	176.834	183.759	184.157	186.397	197.627	208.893	214.833	228.326	239.035	253.664	267.004	286.417	312.741	334.970	365.782	383.200	406.767	424.465	434.682	455.649	478.300	504.004	527.206	557.594	584.409	609.703	629.992	657.462	2017
Algeria	Gross domestic product per capita, constant prices	National currency	Units	139,096.113	138,951.430	143,244.655	146,181.708	149,563.715	150,647.032	146,389.282	141,637.260	134,910.371	137,951.585	137,265.745	132,334.263	131,237.588	125,502.129	121,649.584	123,791.081	126,219.060	125,503.012	129,835.339	131,942.099	134,527.093	136,557.472	142,093.080	150,073.679	154,200.659	160,868.032	161,145.086	164,085.885	164,399.410	163,875.509	166,450.510	167,704.833	169,793.812	170,892.725	173,681.457	176,281.346	178,033.177	176,696.271	176,688.870	2017
Algeria	Gross domestic product per capita, constant prices	Purchasing power parity; 2011 international dollar	Units	10,804.443	10,793.204	11,126.685	11,354.824	11,617.525	11,701.673	11,370.948	11,001.829	10,479.311	10,715.540	10,662.267	10,279.209	10,194.023	9,748.515	9,449.265	9,615.608	9,804.204	9,748.584	10,085.102	10,248.747	10,449.539	10,607.251	11,037.235	11,657.137	11,977.705	12,495.600	12,517.121	12,745.551	12,769.904	12,729.210	12,929.226	13,026.656	13,188.920	13,274.279	13,490.897	13,692.846	13,828.922	13,725.076	13,724.501	2017
Algeria	Population	Persons	Millions	18.666	19.246	19.864	20.516	21.175	22.200	22.800	23.400	24.100	24.700	25.022	25.643	26.271	26.894	27.496	28.060	28.566	29.045	29.507	29.965	30.506	30.954	31.414	31.885	32.366	32.855	33.351	33.858	34.591	35.268	35.978	36.717	37.495	38.297	39.114	39.963	40.836	41.721	42.582	2017
Angola	Gross domestic product, constant prices	National currency	Billions	413.871	395.661	395.661	412.279	437.015	452.311	465.428	484.430	514.120	514.334	496.589	501.512	472.233	358.975	363.783	418.350	475.013	509.567	533.472	545.109	561.760	585.388	665.385	685.279	760.338	874.608	975.606	1,112.289	1,236.487	1,247.104	1,307.703	1,353.106	1,468.691	1,541.458	1,615.797	1,631.043	1,588.961	1,586.577	1,559.623	2017
Angola	Gross domestic product, constant prices	Percent change		2.406	-4.400	0.000	4.200	6.000	3.500	2.900	4.083	6.129	0.042	-3.450	0.991	-5.838	-23.983	1.339	15.000	13.544	7.274	4.691	2.181	3.055	4.206	13.666	2.990	10.953	15.029	11.548	14.010	11.166	0.859	4.859	3.472	8.542	4.955	4.823	0.944	-2.580	-0.150	-1.699	2017
Angola	Gross domestic product, current prices	National currency	Billions	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.001	0.017	1.022	2.143	3.126	21.002	112.118	241.088	665.385	1,328.940	1,967.571	3,222.352	4,209.762	5,006.335	6,643.353	5,577.341	7,701.651	10,500.942	12,224.950	13,195.004	14,323.859	13,950.291	16,549.565	20,262.296	27,134.119	2017
Angola	Gross domestic product, current prices	U.S. dollars	Billions	6.639	6.214	6.214	6.476	6.864	8.457	7.918	9.050	9.818	11.421	12.571	12.186	9.395	6.819	4.965	6.197	7.994	9.388	7.958	7.526	11.166	10.930	15.286	17.813	23.552	36.971	52.381	65.266	88.539	70.307	83.799	111.790	128.053	136.710	145.712	116.194	101.124	122.124	107.316	2017
Angola	Gross domestic product, current prices	Purchasing power parity; international dollars	Billions	20.256	21.197	22.507	24.371	26.765	28.578	29.999	31.996	35.154	36.548	36.608	38.221	36.810	28.644	29.648	34.810	40.249	43.921	46.499	48.199	50.782	54.078	62.441	65.502	74.633	88.524	101.734	119.104	134.978	137.175	145.516	153.714	170.045	181.601	193.960	197.885	194.886	198.293	199.319	2017
Angola	Gross domestic product per capita, constant prices	National currency	Units	46,449.225	43,236.894	42,122.541	42,771.913	44,170.470	40,570.072	40,586.977	41,191.373	42,563.100	41,444.161	38,973.925	38,213.880	34,934.803	25,782.760	25,367.073	28,322.460	31,221.902	32,517.543	33,051.445	32,788.796	32,806.184	33,190.303	36,627.171	36,623.544	39,451.398	44,058.751	47,715.064	52,815.539	57,002.845	55,817.721	56,825.269	57,085.662	60,157.284	61,298.866	62,383.573	61,131.262	57,774.086	55,911.652	53,320.433	2015
Angola	Gross domestic product per capita, constant prices	Purchasing power parity; 2011 international dollar	Units	5,276.667	4,911.744	4,785.152	4,858.921	5,017.799	4,608.791	4,610.711	4,679.371	4,835.200	4,708.088	4,427.467	4,341.126	3,968.620	2,928.941	2,881.719	3,217.453	3,546.831	3,694.017	3,754.669	3,724.832	3,726.807	3,770.443	4,160.874	4,160.462	4,481.708	5,005.107	5,420.467	5,999.885	6,475.566	6,340.935	6,455.393	6,484.974	6,833.913	6,963.597	7,086.821	6,944.557	6,563.180	6,351.606	6,057.241	2015
Angola	Population	Persons	Millions	8.910	9.151	9.393	9.639	9.894	11.149	11.467	11.760	12.079	12.410	12.742	13.124	13.518	13.923	14.341	14.771	15.214	15.671	16.141	16.625	17.124	17.637	18.166	18.711	19.273	19.851	20.446	21.060	21.692	22.342	23.013	23.703	24.414	25.147	25.901	26.681	27.503	28.377	29.250	2015
Antigua and Barbuda	Gross domestic product, constant prices	National currency	Billions	0.951	0.988	0.987	1.040	1.145	1.233	1.375	1.466	1.542	1.623	1.672	1.708	1.728	1.819	1.941	1.856	1.979	2.087	2.186	2.267	2.419	2.299	2.322	2.463	2.604	2.771	3.124	3.413	3.412	2.999	2.783	2.725	2.821	2.818	2.949	3.068	3.216	3.333	3.510	2017
Antigua and Barbuda	Gross domestic product, constant prices	Percent change		8.161	3.815	-0.084	5.364	10.165	7.644	11.494	6.626	5.213	5.252	3.012	2.177	1.158	5.280	6.676	-4.359	6.605	5.471	4.731	3.708	6.692	-4.954	1.024	6.058	5.736	6.412	12.729	9.259	-0.030	-12.108	-7.200	-2.079	3.507	-0.104	4.658	4.026	4.827	3.627	5.326	2017
Antigua and Barbuda	Gross domestic product, current prices	National currency	Billions	0.355	0.399	0.444	0.492	0.563	0.650	0.784	0.910	1.076	1.185	1.241	1.301	1.348	1.445	1.591	1.559	1.711	1.838	1.965	2.069	2.241	2.162	2.199	2.310	2.483	2.760	3.124	3.541	3.695	3.305	3.112	3.084	3.271	3.221	3.444	3.670	3.955	4.094	4.391	2017
Antigua and Barbuda	Gross domestic product, current prices	U.S. dollars	Billions	0.131	0.148	0.164	0.182	0.208	0.241	0.290	0.337	0.399	0.439	0.459	0.482	0.499	0.535	0.589	0.577	0.634	0.681	0.728	0.766	0.830	0.801	0.815	0.856	0.920	1.022	1.157	1.311	1.368	1.224	1.152	1.142	1.211	1.193	1.276	1.359	1.465	1.516	1.626	2017
Antigua and Barbuda	Gross domestic product, current prices	Purchasing power parity; international dollars	Billions	0.268	0.304	0.323	0.354	0.403	0.448	0.510	0.557	0.607	0.663	0.709	0.749	0.775	0.835	0.910	0.888	0.964	1.035	1.096	1.153	1.258	1.222	1.254	1.354	1.470	1.613	1.874	2.102	2.143	1.898	1.781	1.781	1.879	1.910	2.036	2.141	2.269	2.396	2.580	2017
Antigua and Barbuda	Gross domestic product per capita, constant prices	National currency	Units	13,897.872	14,542.041	14,698.407	15,712.898	17,593.597	19,260.757	21,853.157	23,712.680	25,326.284	26,902.119	27,739.622	28,113.686	27,981.142	28,807.342	29,953.886	27,894.008	28,933.735	29,677.266	30,254.575	30,619.217	31,992.076	29,897.375	29,882.171	31,355.180	32,801.082	34,533.017	38,514.333	41,632.776	41,177.368	35,806.701	32,875.038	31,848.988	32,615.033	32,234.475	33,377.028	34,351.252	35,626.158	36,525.369	38,061.472	2011
Antigua and Barbuda	Gross domestic product per capita, constant prices	Purchasing power parity; 2011 international dollar	Units	9,082.002	9,502.954	9,605.137	10,268.087	11,497.089	12,586.548	14,280.633	15,495.797	16,550.257	17,580.036	18,127.329	18,371.772	18,285.157	18,825.064	19,574.309	18,228.217	18,907.659	19,393.543	19,770.804	20,009.091	20,906.228	19,537.380	19,527.445	20,490.029	21,434.899	22,566.686	25,168.403	27,206.247	26,908.646	23,399.015	21,483.228	20,812.723	21,313.319	21,064.632	21,811.269	22,447.906	23,281.034	23,868.651	24,872.466	2011
Antigua and Barbuda	Population	Persons	Millions	0.068	0.068	0.067	0.066	0.065	0.064	0.063	0.062	0.061	0.060	0.060	0.061	0.062	0.063	0.065	0.067	0.068	0.070	0.072	0.074	0.076	0.077	0.078	0.079	0.079	0.080	0.081	0.082	0.083	0.084	0.085	0.086	0.086	0.087	0.088	0.089	0.090	0.091	0.092	2011
Argentina	Gross domestic product, constant prices	National currency	Billions	357.389	336.861	326.255	338.435	345.205	321.209	344.161	352.864	345.959	321.719	317.415	350.738	386.861	411.044	435.006	422.630	445.987	482.160	500.725	483.773	479.956	458.795	408.812	445.423	485.115	528.056	570.549	621.943	647.176	608.873	670.524	710.782	703.486	720.407	702.306	721.487	706.478	725.331	707.092	2018
Argentina	Gross domestic product, constant prices	Percent change		0.700	-5.744	-3.149	3.733	2.000	-6.951	7.146	2.529	-1.957	-7.007	-1.338	10.498	10.299	6.251	5.830	-2.845	5.527	8.111	3.850	-3.385	-0.789	-4.409	-10.894	8.955	8.911	8.852	8.047	9.008	4.057	-5.919	10.125	6.004	-1.026	2.405	-2.513	2.731	-2.080	2.669	-2.515	2018
Argentina	Gross domestic product, current prices	National currency	Billions	--	--	--	--	0.001	0.006	0.011	0.025	0.120	3.517	74.710	196.088	245.668	256.365	279.150	280.080	295.120	317.549	324.242	307.673	308.491	291.738	337.905	407.425	485.115	582.538	715.904	896.980	1,149.646	1,247.929	1,661.721	2,179.024	2,637.914	3,348.308	4,579.086	5,954.511	8,228.160	10,644.779	14,566.559	2018
Argentina	Gross domestic product, current prices	U.S. dollars	Billions	226.569	184.014	91.376	112.721	126.563	95.593	114.949	117.854	138.044	88.567	153.205	205.515	247.987	256.365	279.150	280.080	295.120	317.549	324.242	307.673	308.491	291.738	108.731	138.151	164.922	199.273	232.892	287.921	363.545	334.633	424.728	527.644	579.666	611.471	563.614	642.464	556.774	642.928	518.092	2018
Argentina	Gross domestic product, current prices	Purchasing power parity; international dollars	Billions	177.139	182.761	187.943	202.595	214.104	205.522	224.641	236.018	239.561	231.510	236.961	270.693	305.378	332.154	359.023	356.122	382.685	420.859	441.982	433.185	439.374	429.214	388.504	431.157	482.220	541.253	602.507	674.423	715.435	678.224	755.600	817.698	824.828	859.487	853.745	886.442	877.489	918.032	915.125	2018
Argentina	Gross domestic product per capita, constant prices	National currency	Units	12,786.710	11,840.457	11,277.386	11,534.935	11,568.524	10,583.481	11,195.868	11,349.749	10,993.308	10,097.883	9,757.616	10,638.092	11,575.747	12,118.956	12,662.810	12,151.827	12,671.671	13,542.171	13,906.943	13,290.990	13,048.002	12,347.749	10,897.113	11,761.974	12,690.696	13,682.988	14,640.504	15,802.837	16,282.958	15,170.838	16,439.056	17,226.271	16,856.718	17,070.071	16,459.205	16,727.435	16,207.201	16,457.721	15,868.410	2017
Argentina	Gross domestic product per capita, constant prices	Purchasing power parity; 2011 international dollar	Units	14,710.090	13,621.501	12,973.733	13,270.023	13,308.665	12,175.451	12,879.954	13,056.981	12,646.924	11,616.809	11,225.360	12,238.277	13,316.974	13,941.892	14,567.553	13,979.708	14,577.746	15,579.188	15,998.829	15,290.224	15,010.685	14,205.101	12,536.259	13,531.213	14,599.634	15,741.187	16,842.733	18,179.904	18,732.245	17,452.840	18,911.823	19,817.451	19,392.310	19,637.756	18,935.003	19,243.580	18,645.092	18,933.296	18,255.340	2017
Argentina	Population	Persons	Millions	27.950	28.450	28.930	29.340	29.840	30.350	30.740	31.090	31.470	31.860	32.530	32.970	33.420	33.917	34.353	34.779	35.196	35.604	36.005	36.399	36.784	37.156	37.516	37.870	38.226	38.592	38.971	39.356	39.746	40.134	40.788	41.261	41.733	42.203	42.670	43.132	43.590	44.072	44.560	2017
Armenia	Gross domestic product, constant prices	National currency	Billions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1,005.093	863.837	910.484	983.622	1,034.468	1,069.509	1,136.579	1,172.611	1,241.239	1,358.760	1,559.952	1,779.159	1,965.485	2,242.881	2,538.896	2,887.974	3,088.621	2,651.584	2,709.916	2,837.273	3,039.694	3,140.004	3,253.218	3,359.076	3,367.848	3,619.714	3,801.720	2017
Armenia	Gross domestic product, constant prices	Percent change		n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-14.054	5.400	8.033	5.169	3.387	6.271	3.170	5.853	9.468	14.807	14.052	10.473	14.113	13.198	13.749	6.948	-14.150	2.200	4.700	7.134	3.300	3.606	3.254	0.261	7.479	5.028	2017
Armenia	Gross domestic product, current prices	National currency	Billions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.295	3.897	187.065	522.256	661.209	804.336	955.385	987.444	1,031.338	1,175.877	1,362.472	1,624.643	1,907.945	2,242.881	2,656.190	3,149.283	3,568.228	3,141.651	3,460.203	3,777.946	4,266.461	4,555.638	4,828.626	5,043.633	5,067.294	5,568.902	6,083.375	2017
Armenia	Gross domestic product, current prices	U.S. dollars	Billions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.108	0.835	0.648	1.287	1.597	1.639	1.892	1.845	1.912	2.118	2.376	2.807	3.577	4.900	6.384	9.206	11.662	8.648	9.260	10.142	10.619	11.121	11.610	10.553	10.546	11.537	12.411	2017
Armenia	Gross domestic product, current prices	Purchasing power parity; international dollars	Billions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4.908	4.318	4.649	5.127	5.491	5.775	6.206	6.496	7.029	7.864	9.171	10.654	12.087	14.222	16.586	19.374	21.123	18.272	18.892	20.193	22.048	23.175	24.465	25.532	25.878	28.342	30.438	2017
Armenia	Gross domestic product per capita, constant prices	National currency	Units	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	291,331.401	256,331.434	276,742.896	305,472.659	326,330.641	340,607.965	365,459.555	379,485.688	402,999.792	444,039.338	511,459.825	585,249.778	648,674.886	745,143.156	846,298.800	965,877.525	1,036,449.933	892,789.226	913,552.502	955,959.769	1,023,466.156	1,053,692.752	1,089,776.697	1,123,271.965	1,126,114.977	1,210,235.393	1,270,986.493	2015
Armenia	Gross domestic product per capita, constant prices	Purchasing power parity; 2011 international dollar	Units	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2,073.380	1,824.289	1,969.555	2,174.022	2,322.467	2,424.077	2,600.944	2,700.767	2,868.115	3,160.190	3,640.015	4,165.172	4,616.563	5,303.119	6,023.035	6,874.067	7,376.325	6,353.904	6,501.674	6,803.483	7,283.920	7,499.040	7,755.846	7,994.229	8,014.463	8,613.141	9,045.501	2015
Armenia	Population	Persons	Millions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3.450	3.370	3.290	3.220	3.170	3.140	3.110	3.090	3.080	3.060	3.050	3.040	3.030	3.010	3.000	2.990	2.980	2.970	2.966	2.968	2.970	2.980	2.985	2.990	2.991	2.991	2.991	2015
Aruba	Gross domestic product, constant prices	National currency	Billions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2.785	2.820	3.018	3.074	3.116	3.353	3.254	3.147	3.210	3.464	3.506	3.543	3.615	3.620	3.210	3.103	3.211	3.168	3.299	3.329	3.314	3.330	3.407	3.448	2017
Aruba	Gross domestic product, constant prices	Percent change		n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.255	7.017	1.871	1.368	7.604	-2.970	-3.271	1.977	7.909	1.220	1.051	2.034	0.153	-11.334	-3.339	3.505	-1.368	4.165	0.904	-0.448	0.483	2.308	1.200	2017
Aruba	Gross domestic product, current prices	National currency	Billions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2.364	2.470	2.742	2.981	3.084	3.353	3.437	3.475	3.618	3.989	4.172	4.340	4.681	4.914	4.473	4.279	4.564	4.537	4.618	4.743	4.818	4.738	4.834	5.072	2017
Aruba	Gross domestic product, current prices	U.S. dollars	Billions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.321	1.380	1.532	1.665	1.723	1.873	1.920	1.941	2.021	2.228	2.331	2.424	2.615	2.745	2.499	2.391	2.550	2.535	2.580	2.649	2.691	2.647	2.700	2.833	2017
Aruba	Gross domestic product, current prices	Purchasing power parity; international dollars	Billions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2.300	2.372	2.582	2.660	2.736	3.009	2.984	2.932	3.046	3.375	3.522	3.667	3.842	3.923	3.505	3.427	3.622	3.641	3.859	3.967	3.992	4.055	4.227	4.375	2017
Aruba	Gross domestic product per capita, constant prices	National currency	Units	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	34,898.924	33,968.005	34,970.108	34,758.467	34,759.371	37,014.332	35,430.554	34,183.664	34,464.741	36,404.781	35,907.046	35,638.194	36,093.051	35,873.348	31,592.278	30,460.756	31,241.314	30,289.912	31,015.792	30,911.415	30,399.333	30,179.685	30,738.141	30,992.656	2017
Aruba	Gross domestic product per capita, constant prices	Purchasing power parity; 2011 international dollar	Units	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	39,355.695	38,305.893	39,435.970	39,197.300	39,198.320	41,741.252	39,955.217	38,549.092	38,866.064	41,053.858	40,492.559	40,189.374	40,702.318	40,454.558	35,626.774	34,350.750	35,230.990	34,158.089	34,976.667	34,858.961	34,281.483	34,033.785	34,663.559	34,950.576	2017
Aruba	Population	Persons	Millions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.080	0.083	0.086	0.088	0.090	0.091	0.092	0.092	0.093	0.095	0.098	0.099	0.100	0.101	0.102	0.102	0.103	0.105	0.106	0.108	0.109	0.110	0.111	0.111	2017
Australia	Gross domestic product, constant prices	National currency	Billions	566.473	589.852	590.222	587.427	624.705	658.791	674.919	707.940	738.051	772.190	783.786	775.876	795.779	826.827	867.274	891.931	929.026	971.370	1,017.245	1,062.469	1,094.744	1,123.216	1,170.127	1,201.377	1,252.793	1,288.846	1,325.183	1,383.066	1,420.062	1,446.823	1,481.348	1,522.301	1,581.295	1,615.089	1,657.752	1,698.544	1,745.743	1,787.327	1,837.567	2018
